"-3579139:-25","00:01","00:02","00:03","00:04","00:05","00:06","00:07","00:08","00:09","00:10","00:11","00:12","00:13","00:14","00:15","00:16","00:17","00:19","00:19","00:19","00:19","00:22","00:23","00:24","00:25","00:26","00:29","00:29","00:29","00:29","00:29","00:29","00:33","00:34","00:35","00:39","00:39","00:39","00:39","00:39","00:39","00:39","00:39","00:44","00:49","00:49","00:49","00:49","00:49","00:49","00:49","00:49","00:49","00:49","00:59","00:59","00:59","00:59","00:59","00:59","00:59","00:59","00:59","00:59","00:69","00:69","00:69","00:69","00:69","00:69","00:69","00:69","00:69","00:69","00:79","00:79","00:79","00:79","00:79","00:79","00:79","00:79","00:79","00:79","00:89","00:89","00:89","00:89","00:89","00:90","00:99","00:99","00:99","00:99","00:99","00:99","00:99","00:99","00:99",
"00:59","00:59","00:59","00:59","00:59","00:69","00:69","00:69","00:69","00:69","00:69","00:69","00:69","00:69","00:69","00:79","00:79","00:79","00:79","00:79","00:79","00:79","00:79","00:79","00:79","00:89","00:89","00:89","00:89","00:89","00:90","00:99","00:99","00:99","00:99","00:99","00:99","00:99","00:99","00:99","00:99","00:99","00:99","00:99","00:99","00:99","00:99","00:99","00:99","00:99","01:49","01:49","01:49","01:49","01:49","01:59","01:59","01:59","01:59","01:59","01:59","01:59","01:59","01:59","01:59","01:69","01:69","01:69","01:69","01:69","01:69","01:69","01:69","01:69","01:69","01:79","01:79","01:79","01:79","01:79","01:79","01:79","01:79","01:79","01:79","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99",
"01:59","01:59","01:59","01:59","01:59","01:69","01:69","01:69","01:69","01:69","01:69","01:69","01:69","01:69","01:69","01:79","01:79","01:79","01:79","01:79","01:79","01:79","01:79","01:79","01:79","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","01:99","02:59","02:59","02:59","02:59","02:59","02:59","02:59","02:59","02:69","02:69","02:69","02:69","02:69","02:69","02:69","02:69","02:69","02:69","02:79","02:79","02:79","02:79","02:79","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99",
"02:59","02:59","02:59","02:59","02:59","02:69","02:69","02:69","02:69","02:69","02:69","02:69","02:69","02:69","02:69","02:79","02:79","02:79","02:79","02:79","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","02:99","03:59","03:69","03:69","03:69","03:69","03:69","03:69","03:69","03:69","03:69","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99",
"02:99","02:99","02:99","02:99","03:59","03:69","03:69","03:69","03:69","03:69","03:69","03:69","03:69","03:69","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99",
"03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","03:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99",
"04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","04:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99",
"05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","05:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99",
"06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","06:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","07:99","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:19","09:19","09:19","09:19","09:19","09:19","09:19","09:19","09:19","09:19","09:29","09:29","09:29","09:29","09:29","09:29","09:29","09:29","09:29","08:99","08:99","08:99","08:99","08:99","08:99",
"09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:09","09:19","09:19","09:19","09:19","09:19","09:19","09:19","09:19","09:19","09:19","09:29","09:29","09:29","09:29","09:29","09:29","09:29","09:29","09:29","08:99","08:99","08:99","08:99","08:99","08:99","08:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99","09:99",
